participant,age_group,frame,timestamp,true_location,humna_class,human_score_blinks_removed,l2cs_score,l2cs_class,l2cs_norm
EX01,adult,0.0,0.0,0.0,Centre,0,0.077062026,right,0.08194777331543211
EX01,adult,1.004651163,0.033153488,0.0,Centre,0,0.06004523,right,0.0638521106482278
EX01,adult,2.009302326,0.066306977,0.0,Centre,0,0.113057055,right,0.12022489417158724
EX01,adult,3.013953488,0.099460465,0.0,Centre,0,0.13477834,right,0.14332330879585503
EX01,adult,4.018604651,0.132613953,0.0,Centre,0,0.14312254,right,0.15219653616281065
EX01,adult,5.023255814,0.165767442,0.0,Centre,0,0.09989545,right,0.1062288385958405
EX01,adult,6.027906977,0.19892093,0.0,Centre,0,0.11612953,right,0.12349216775304028
EX01,adult,7.03255814,0.232074419,0.0,Centre,0,0.06382372,right,0.06787015890393037
EX01,adult,8.037209302,0.265227907,0.0,Centre,0,0.067167856,right,0.07142631112444138
EX01,adult,9.041860465,0.298381395,0.0,Centre,0,0.07127498,right,0.07579382877075004
EX01,adult,10.04651163,0.331534884,0.0,Centre,0,0.06307085,right,0.06706955284270968
EX01,adult,11.05116279,0.364688372,0.0,Centre,0,0.054515705,right,0.05797201094710677
EX01,adult,12.05581395,0.39784186,0.0,Centre,0,0.079818405,right,0.08487890786776713
EX01,adult,13.06046512,0.430995349,0.0,Centre,0,0.0727075,right,0.07731716622866493
EX01,adult,14.06511628,0.464148837,0.0,Centre,0,0.102712005,right,0.10922396680626692
EX01,adult,15.06976744,0.497302326,0.0,Centre,0,0.109957926,right,0.1169292802019959
EX01,adult,16.0744186,0.530455814,0.0,Centre,0,0.097063966,right,0.10321784071881049
EX01,adult,17.07906977,0.563609302,0.0,Centre,0,0.09616462,right,0.10226147740558793
EX01,adult,18.08372093,0.596762791,0.0,Centre,0,0.08439185,right,0.08974230703848157
EX01,adult,19.08837209,0.629916279,0.0,Centre,0,0.082902074,right,0.08815808171843564
EX01,adult,20.09302326,0.663069767,0.0,Centre,0,0.07225316,right,0.07683402480605572
EX01,adult,21.09767442,0.696223256,0.0,Centre,0,0.06605492,right,0.07024281271277079
EX01,adult,22.10232558,0.729376744,0.0,Centre,0,0.074539214,right,0.07926501528748832
EX01,adult,23.10697674,0.762530233,0.0,Centre,0,0.0862273,right,0.09169412549469308
EX01,adult,24.11162791,0.795683721,0.0,Centre,0,0.058606323,right,0.06232197530017518
EX01,adult,25.11627907,0.828837209,0.0,Centre,0,0.07475067,right,0.07948987649960823
EX01,adult,26.12093023,0.861990698,0.0,Centre,0,0.10217857,right,0.10865671535836385
EX01,adult,27.1255814,0.895144186,0.0,Centre,0,0.118421726,right,0.12592968674434876
EX01,adult,28.13023256,0.928297674,0.0,Centre,0,0.092974685,right,0.09886929853506576
EX01,adult,29.13488372,0.961451163,0.0,Centre,0,0.09452465,right,0.10051753335910088
EX01,adult,30.13953488,0.994604651,0.0,Centre,0,0.09187,right,0.09769457875075252
EX01,adult,31.14418605,1.02775814,0.0,Centre,0,0.064071134,right,0.0681332562673378
EX01,adult,32.14883721,1.060911628,0.0,Centre,0,0.06854897,right,0.07289498815804368
EX01,adult,33.15348837,1.094065116,0.0,Centre,0,0.0783795,right,0.08334877251971451
EX01,adult,34.15813953,1.127218605,0.0,Centre,0,0.07424334,right,0.07895037914162645
